what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_20",1287875394847
java.vm.info,sysinfo,,,"mixed mode",1287875394847
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1287875394847
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287875394847
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287875394847
java.vm.specification.version,sysinfo,,,"1.0",1287875394847
java.vm.vendor,sysinfo,,,"Apple Inc.",1287875394847
java.vm.version,sysinfo,,,"16.3-b01-279",1287875394847
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287875394864
started,bundle,com.aptana.ide.server.portal,2.0.0.1254275737,"com.aptana.ide.server.portal",1287875394966
started,bundle,org.eclipse.dltk.core.index.sql,2.0.0.v20091110-1532,"org.eclipse.dltk.core.index.sql",1287875395021
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20091214-1712,"org.eclipse.dltk.core.index.sql.h2",1287875395025
started,bundle,org.rubypeople.rdt.core,1.3.2.1255537611,"org.rubypeople.rdt.core",1287875400063
started,bundle,org.rubypeople.rdt.launching,1.3.0.1254241359,"org.rubypeople.rdt.launching",1287875400097
started,bundle,com.aptana.rdt,1.3.1.1255023174,"com.aptana.rdt",1287875400134
started,bundle,org.radrails.rails.core,1.3.1.1255533415,"org.radrails.rails.core",1287875400137
error,log,,,"Error logged from Debug Core: ",1287875400463
error,log,,,"Error logged from Debug Core: ",1287875400623
opened,editor,com.aptana.radrails.intro,2.0.0.1256853868,"com.aptana.radrails.MyRadRailsEditor",1287875400643
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1253913567,"org.eclipse.eclipsemonkey.doms",1287875400967
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1254334821,"org.rubypeople.rdt.debug.ui",1287875401511
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1287875401522
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1254241359,"org.rubypeople.rdt.debug.core",1287875401523
started,bundle,org.rubypeople.rdt.ui,1.2.4.1255023174,"org.rubypeople.rdt.ui",1287875401557
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1287875401621
