1950;2556505579;1.45;37347602
1951;2593853181;1.6;41871643
1952;2635724824;1.7;45323546
1953;2681048370;1.78;48219116
1954;2729267486;1.88;51917512
1955;2781184998;1.9;53250385
1956;2834435383;1.96;56101768
1957;2890537151;1.95;56842854
1958;2947380005;1.77;52643623
1959;3000023628;1.4;42365981
1960;3042389609;1.34;41053737
1961;3083443346;1.81;56201866
1962;3139645212;2.2;69809783
1963;3209454995;2.2;71435095
1964;3280890090;2.09;69261354
1965;3350151444;2.08;70287296
1966;3420438740;2.02;69734541
1967;3490173281;2.04;72054474
1968;3562227755;2.08;74911189
1969;3637138944;2.06;75674674
1970;3712813618;2.08;77855248
1971;3790668866;2;76494186
1972;3867163052;1.94;75826051
1973;3942989103;1.87;74626636
1974;4017615739;1.79;72591465
1975;4090207204;1.73;71216701
1976;4161423905;1.72;71989405
1977;4233413310;1.69;72083441
1978;4305496751;1.73;74933098
1979;4380429849;1.64;72256895
1980;4452686744;1.84;82712810
1981;4535399554;1.75;79967346
1982;4615366900;1.74;81043957
1983;4696410857;1.69;80166808
1984;4776577665;1.69;81519858
1985;4858097523;1.71;83727559
1986;4941825082;1.73;86219610
1987;5028044692;1.71;86904352
1988;5114949044;1.68;86553193
1989;5201502237;1.66;87326009
1990;5288828246;1.56;82961488
1991;5371789734;1.56;84615734
1992;5456405468;1.49;82021956
1993;5538427424;1.44;80603671
1994;5619031095;1.43;80882232
1995;5699913327;1.4;80077441
1996;5779990768;1.35;78382248
1997;5858373016;1.31;77368308
1998;5935741324;1.28;76699424
1999;6012440748;1.26;76242806
2000;6088683554;1.25;76640086
2001;6165323640;1.23;76394040
2002;6241717680;1.21;75708715
2003;6317426395;1.19;75694545
2004;6393120940;1.18;76008796
2005;6469129736;1.18;76754703
2006;6545884439;1.18;77687516
2007;6623571955;1.16;77193924
2008;6700765879;1.13;76151586
2009;6776917465;1.12;76101949
2010;6853019414;1.1;76078737
2011;6929098151;1.09;75690177
2012;7004788328;1.07;75387222
2013;7080175550;1.06;75338512
2014;7155514062;1.04;75049628
2015;7230563690;1.03;74655713
2016;7305219403;1.01;74180657
2017;7379400060;0.99;73486592
2018;7452886652;0.97;72652993
2019;7525539645;0.95;71699093
2020;7597238738;0.93;70803837
2021;7668042575;0.91;69932250
2022;7737974825;0.89;68927398
2023;7806902223;0.87;67841959
2024;7874744182;0.84;66699289
2025;7941443471;0.82;65627670
2026;8007071141;0.8;64618718
2027;8071689859;0.78;63569367
2028;8135259226;0.77;62498636
2029;8197757862;0.75;61409243
2030;8259167105;0.73;60387312
2031;8319554417;0.71;59434876
2032;8378989293;0.7;58473280
2033;8437462573;0.68;57495609
2034;8494958182;0.66;56487279
2035;8551445461;0.65;55520922
2036;8606966383;0.63;54605240
2037;8661571623;0.62;53671305
2038;8715242928;0.6;52712536
2039;8767955464;0.59;51724342
2040;8819679806;0.57;50774182
2041;8870453988;0.56;49865285
2042;8920319273;0.55;48921986
2043;8969241259;0.53;47940235
2044;9017181494;0.52;46926143
2045;9064107637;0.51;45941983
2046;9110049620;0.49;44990101
2047;9155039721;0.48;44017110
2048;9199056831;0.47;43026715
2049;9242083546;0.45;42023878
